Maven version,Average (bytes),Average (Gb),Min (bytes),Max (bytes),Allocation 1 (bytes),Allocation 2 (bytes),Allocation 3 (bytes),Allocation 4 (bytes),Allocation 5 (bytes),Allocation 6 (bytes),Allocation 7 (bytes),Allocation 8 (bytes),Allocation 9 (bytes),Allocation 10 (bytes),Allocation 1 (Gb),Allocation 2 (Gb),Allocation 3 (Gb),Allocation 4 (Gb),Allocation 5 (Gb),Allocation 6 (Gb),Allocation 7 (Gb),Allocation 8 (Gb),Allocation 9 (Gb),Allocation 10 (Gb)
Maven 3.2.5,1.9789881664E10,18.43076354265213,19726297408,19976266976,19767425352,19726297408,19816443264,19747273792,19777588072,19726663008,19976266976,19731830152,19866696088,19762332528,18.40984947234392,18.3715460896492,18.455500960350037,18.391081869602203,18.419314242899418,18.37188658118248,18.60434839129448,18.37669885903597,18.502302549779415,18.405106410384178
Maven 3.3.1,1.63652819808E10,15.241356548666953,16230773864,16693424392,16262686712,16693424392,16334764760,16321124736,16471252752,16320766328,16246968320,16295583240,16475474704,16230773864,15.145807258784771,15.546962983906269,15.212935172021389,15.200231909751892,15.340049520134926,15.19989811629057,15.131168365478516,15.176444537937641,15.343981519341469,15.116086103022099
Maven 3.3.3,1.63498950344E10,15.227026338130235,16217341776,16433631352,16394038256,16347943048,16334895464,16343550120,16217341776,16388924368,16347059936,16433631352,16301460552,16390105472,15.26813791692257,15.225208409130573,15.213056899607182,15.221117176115513,15.103576496243477,15.263375237584114,15.22438594698906,15.305011861026287,15.1819182112813,15.264475226402283
Maven 3.3.9,1.64261345472E10,15.298029917478562,16332680160,16500938056,16447794464,16453595712,16406149696,16332680160,16422662512,16464767464,16362820600,16454565624,16500938056,16415371184,15.318202286958694,15.323605120182037,15.27941757440567,15.210993736982346,15.294796332716942,15.334009625017643,15.239064209163189,15.324508421123028,15.367696113884449,15.288005754351616
Maven 3.5.0,9.0067345608E9,8.388175220042466,8940200944,9075800320,8960115616,8940200944,9033529568,9051340136,9068634592,8987055624,8977630160,9075800320,8950870232,9022168416,8.344757944345474,8.326210960745811,8.413130015134811,8.429717399179935,8.44582411646843,8.369847781956196,8.36106963455677,8.452497720718384,8.336147509515285,8.402549117803574
Maven 3.5.2,9.0290809992E9,8.408986962586642,8964607952,9127326760,9035467704,9127326760,8996199712,8994889472,8964607952,9075934248,9027703368,9037162032,9028764376,9002754368,8.414935044944286,8.500485457479954,8.378363877534866,8.377143621444702,8.348941758275032,8.452622450888157,8.407703943550587,8.41651301085949,8.408692084252834,8.384468376636505
Maven 3.5.3,9.1027149184E9,8.477563893795013,8988880912,9223481632,9215697584,9099222808,9045095824,9133152248,8988880912,9050947000,9223481632,9032652392,9075718872,9162299912,8.582787200808525,8.474311612546444,8.423901930451393,8.505910865962505,8.37154771387577,8.429351262748241,8.590036660432816,8.4123130813241,8.452421866357327,8.533056743443012
Maven 3.5.4,9.3033531864E9,8.664422842115163,9249422072,9407891048,9251326096,9276245960,9249422072,9272522200,9298142992,9281981576,9281806088,9406696280,9307497552,9407891048,8.615968838334084,8.639177270233631,8.614195577800274,8.635709248483181,8.659570470452309,8.644518978893757,8.644355542957783,8.760668598115444,8.668282583355904,8.761781312525272
Maven 3.6.0,9.5467233096E9,8.891078931838274,9460713560,9727374280,9517162512,9511551880,9460713560,9549597152,9517631656,9476896688,9727374280,9501802248,9686110464,9518392656,8.863548293709755,8.858322985470295,8.81097611039877,8.893755406141281,8.8639852181077,8.826047822833061,9.059323258697987,8.849242933094501,9.020893335342407,8.864693954586983
Maven 3.6.1,7.7437195136E9,7.211900794506073,7644467376,7884269760,7745229056,7822170928,7884269760,7793330568,7706046232,7672915680,7644467376,7704195424,7759306328,7705263784,7.213306665420532,7.284964367747307,7.342798411846161,7.25810468941927,7.176814816892147,7.145959585905075,7.119465038180351,7.175091117620468,7.226417146623135,7.176086105406284
Maven 3.6.2,3.3445866128E9,3.1148890152573587,3298792248,3445668176,3317396000,3330513160,3316534824,3422256552,3312832264,3298792248,3316562936,3310245744,3375064224,3445668176,3.08956578373909,3.101782090961933,3.088763751089573,3.1872247830033302,3.0853154733777046,3.072239689528942,3.0887899324297905,3.08290658891201,3.143273502588272,3.2090285569429398
